index,Date,Country,Cumulative number of case(s),Number of deaths,Number recovered
0,2003-03-17,Germany,1,0,0
1,2003-03-17,Canada,8,2,0
2,2003-03-17,Singapore,20,0,0
3,2003-03-17,"Hong Kong SAR, China",95,1,0
4,2003-03-17,Switzerland,2,0,0
5,2003-03-17,Thailand,1,0,0
6,2003-03-17,Viet Nam,40,1,0
7,2003-03-18,Germany,2,0,0
8,2003-03-18,Canada,8,2,0
9,2003-03-18,China,0,0,0
10,2003-03-18,Singapore,23,0,0
11,2003-03-18,"Hong Kong SAR, China",123,1,0
12,2003-03-18,"Taiwan, China",3,0,0
13,2003-03-18,Thailand,1,0,0
14,2003-03-18,Viet Nam,57,1,0
15,2003-03-18,Slovenia,1,0,0
16,2003-03-18,United Kingdom,1,0,0
17,2003-03-19,Canada,8,2,0
18,2003-03-19,China,0,0,0
19,2003-03-19,Germany,1,0,0
20,2003-03-19,"Hong Kong SAR, China",150,5,0
21,2003-03-19,Singapore,31,0,0
22,2003-03-19,Slovenia,1,0,0
23,2003-03-19,Spain,1,0,0
24,2003-03-19,"Taiwan, China",3,0,0
25,2003-03-19,Thailand,1,0,0
26,2003-03-19,United Kingdom,1,0,0
27,2003-03-19,United States,11,0,0
28,2003-03-19,Viet Nam,56,2,0
29,2003-03-20,Canada,9,2,0
30,2003-03-20,China,0,0,0
31,2003-03-20,Germany,1,0,0
32,2003-03-20,"Hong Kong SAR, China",173,6,0
33,2003-03-20,Singapore,34,0,0
34,2003-03-20,Slovenia,1,0,0
35,2003-03-20,Spain,1,0,0
36,2003-03-20,Switzerland,7,0,0
37,2003-03-20,"Taiwan, China",4,0,0
38,2003-03-20,Thailand,1,0,0
39,2003-03-20,United Kingdom,2,0,0
40,2003-03-20,United States,11,0,0
41,2003-03-20,Viet Nam,62,2,0
42,2003-03-21,Canada,9,2,0
43,2003-03-21,China,0,0,0
44,2003-03-21,Germany,1,0,0
45,2003-03-21,"Hong Kong SAR, China",203,6,0
46,2003-03-21,Italy,1,0,0
47,2003-03-21,Republic of Ireland,1,0,0
48,2003-03-21,Singapore,39,0,0
49,2003-03-21,Slovenia,1,0,0
50,2003-03-21,Spain,1,0,0
51,2003-03-21,Switzerland,7,0,0
52,2003-03-21,"Taiwan, China",6,0,0
53,2003-03-21,Thailand,4,0,0
54,2003-03-21,United Kingdom,2,0,0
55,2003-03-21,United States,13,0,0
56,2003-03-21,Viet Nam,62,2,0
57,2003-03-22,Canada,9,2,0
58,2003-03-22,China,0,0,0
59,2003-03-22,Germany,2,0,0
60,2003-03-22,"Hong Kong SAR, China",222,7,0
61,2003-03-22,Italy,2,0,0
62,2003-03-22,Republic of Ireland,1,0,0
63,2003-03-22,Singapore,44,0,0
64,2003-03-22,Slovenia,1,0,0
65,2003-03-22,Spain,1,0,0
66,2003-03-22,Switzerland,7,0,0
67,2003-03-22,"Taiwan, China",6,0,0
68,2003-03-22,Thailand,4,0,0
69,2003-03-22,United Kingdom,2,0,0
70,2003-03-22,United States,22,0,0
71,2003-03-22,Viet Nam,63,2,0
72,2003-03-24,Canada,11,3,0
73,2003-03-24,China,0,0,0
74,2003-03-24,France,1,0,0
75,2003-03-24,Germany,4,0,0
76,2003-03-24,"Hong Kong SAR, China",260,10,0
77,2003-03-24,Italy,2,0,0
78,2003-03-24,Republic of Ireland,1,0,0
79,2003-03-24,Singapore,65,0,0
80,2003-03-24,Spain,1,0,0
81,2003-03-24,Switzerland,2,0,0
82,2003-03-24,"Taiwan, China",6,0,0
83,2003-03-24,Thailand,5,0,0
84,2003-03-24,United Kingdom,3,0,0
85,2003-03-24,United States,37,0,0
86,2003-03-24,Viet Nam,58,4,0
87,2003-03-25,Canada,11,3,0
88,2003-03-25,China,0,0,0
89,2003-03-25,France,1,0,0
90,2003-03-25,Germany,4,0,0
91,2003-03-25,"Hong Kong SAR, China",286,10,0
92,2003-03-25,Italy,2,0,0
93,2003-03-25,Republic of Ireland,1,0,0
94,2003-03-25,Singapore,69,0,0
95,2003-03-25,Switzerland,2,0,0
96,2003-03-25,"Taiwan, China",6,0,0
97,2003-03-25,Thailand,5,0,0
98,2003-03-25,United Kingdom,3,0,0
99,2003-03-25,United States,39,0,0
100,2003-03-25,Viet Nam,58,4,0
101,2003-03-26,Canada,19,3,0
102,2003-03-26,China,792,31,0
103,2003-03-26,"Hong Kong SAR, China",316,10,0
104,2003-03-26,"Taiwan, China",6,0,0
105,2003-03-26,France,1,0,0
106,2003-03-26,Germany,4,0,0
107,2003-03-26,Italy,3,0,0
108,2003-03-26,Republic of Ireland,2,0,0
109,2003-03-26,Singapore,74,1,0
110,2003-03-26,Switzerland,2,0,0
111,2003-03-26,Thailand,3,0,0
112,2003-03-26,United Kingdom,3,0,0
113,2003-03-26,United States,40,0,0
114,2003-03-26,Viet Nam,58,4,0
115,2003-03-27,Canada,28,3,0
116,2003-03-27,China,806,34,0
117,2003-03-27,"Hong Kong SAR, China",367,10,0
118,2003-03-27,"Taiwan, China",6,0,0
119,2003-03-27,France,1,0,0
120,2003-03-27,Germany,4,0,0
121,2003-03-27,Italy,2,0,0
122,2003-03-27,Republic of Ireland,2,0,0
123,2003-03-27,Romania,3,0,0
124,2003-03-27,Singapore,78,2,0
125,2003-03-27,Switzerland,2,0,0
126,2003-03-27,Thailand,3,0,0
127,2003-03-27,United Kingdom,3,0,0
128,2003-03-27,United States,45,0,0
129,2003-03-27,Viet Nam,58,4,0
130,2003-03-28,Canada,29,3,0
131,2003-03-28,China,806,34,0
132,2003-03-28,"Hong Kong SAR, China",425,10,0
133,2003-03-28,"Taiwan, China",10,0,0
134,2003-03-28,France,1,0,0
135,2003-03-28,Germany,4,0,0
136,2003-03-28,Italy,2,0,0
137,2003-03-28,Republic of Ireland,2,0,0
138,2003-03-28,Romania,3,0,0
139,2003-03-28,Singapore,86,2,0
140,2003-03-28,Switzerland,2,0,0
141,2003-03-28,Thailand,3,0,0
142,2003-03-28,United Kingdom,3,0,0
143,2003-03-28,United States,51,0,0
144,2003-03-28,Viet Nam,58,4,0
145,2003-03-29,Canada,37,3,0
146,2003-03-29,China,806,34,0
147,2003-03-29,"Hong Kong SAR, China",470,10,0
148,2003-03-29,"Taiwan, China",10,0,0
149,2003-03-29,France,1,0,0
150,2003-03-29,Germany,4,0,0
151,2003-03-29,Italy,2,0,0
152,2003-03-29,Republic of Ireland,2,0,0
153,2003-03-29,Romania,3,0,0
154,2003-03-29,Singapore,89,2,0
155,2003-03-29,Switzerland,3,0,0
156,2003-03-29,Thailand,3,1,0
157,2003-03-29,United Kingdom,3,0,0
158,2003-03-29,United States,59,0,0
159,2003-03-29,Viet Nam,58,4,0
160,2003-03-31,Canada,44,4,0
161,2003-03-31,China,806,34,0
162,2003-03-31,"Hong Kong SAR, China",530,13,0
163,2003-03-31,"Taiwan, China",10,0,0
164,2003-03-31,France,1,0,0
165,2003-03-31,Germany,5,0,0
166,2003-03-31,Italy,2,0,0
167,2003-03-31,Republic of Ireland,2,0,0
168,2003-03-31,Romania,3,0,0
169,2003-03-31,Singapore,91,2,0
170,2003-03-31,Switzerland,3,0,0
171,2003-03-31,Thailand,5,1,0
172,2003-03-31,United Kingdom,3,0,0
173,2003-03-31,United States,59,0,0
174,2003-03-31,Viet Nam,58,4,0
175,2003-04-01,Australia,1,0,0
176,2003-04-01,Belgium,1,0,0
177,2003-04-01,Canada,53,4,0
178,2003-04-01,China,806,34,0
179,2003-04-01,"Hong Kong SAR, China",685,16,0
180,2003-04-01,"Taiwan, China",13,0,0
181,2003-04-01,France,1,0,0
182,2003-04-01,Germany,5,0,0
